url	name	num_tracks	duration	owner	likes	num_reposts	tag	posted_on
https://soundcloud.com/cryzca/sets/house-techno-trance	edm	433	42:45:18	CVR0LINE HVC0BIVN	2	0	Dance & EDM	26 July 2015
https://soundcloud.com/nathan-kwong-4/sets/4our	edm	489	34:32:25	Nathan Kwong	6	0	Dance & EDM	5 February 2015
https://soundcloud.com/natalie-bennett-73987116/sets/0yahkzvzs5ep	edm	489	33:33:12	sad.	28	2	Dance & EDM	9 January 2020
https://soundcloud.com/ragingmohawk/sets/edm-workout	EDM	447	25:25:23	dirtstar	48	4	Dance & EDM	14 March 2018
https://soundcloud.com/aronarija/sets/north-coast	EDM	470	31:33:04	Aaron Karija	5	0	Dance & EDM	17 July 2015
https://soundcloud.com/snkymusic/sets/edm	EDM	458	36:49:47	sneaky	2	0	Dance & EDM	27 May 2016
https://soundcloud.com/digitalstreams/sets/edmanthems	Best EDM of 2021 (All-Time)	51	3:16:03	Westcoast Radio (EDM)	24K	1,056	Dance & EDM	4 December 2017
https://soundcloud.com/silas_milner/sets/edm-1	EDM	461	51:44:42	Silas	6	0	Dance & EDM	20 May 2016
https://soundcloud.com/kindjtre/sets/dj-party	EDM	449	32:02:54	S.A.G.E>_<	13	1	Dance & EDM	10 December 2014
https://soundcloud.com/mark-gonzales-27/sets/eden-for-prom	Edm	472	38:22:11	mark gonzales 14	19	2	Dance & EDM	26 May 2016
https://soundcloud.com/phodatbit/sets/cosine	edm	454	28:26:46	joooon	5	1	Dance & EDM	10 January 2016
https://soundcloud.com/user-24890412/sets/trap-nation	EDM	473	30:06:09	kayla	38	6	Dance & EDM	18 December 2016
https://soundcloud.com/user-905236953/sets/house	EDM	402	38:59:16	User 905236953	5	1	Dance & EDM	27 November 2015
https://soundcloud.com/juniegocrazy/sets/lets-rock	EDM	379	23:25:00	JUNIE	2	0	Dance & EDM	26 November 2014
https://soundcloud.com/user-584181181/sets/edm	EDM	491	33:45:55	Hans ZimmDee	0	0	Dance & EDM	25 August 2016
https://soundcloud.com/jake-barnhart-3/sets/edm	EDM	478	32:11:28	Jake Barnhart	7	1	Dance & EDM	5 November 2016
https://soundcloud.com/janessa1180/sets/edm	edm	458	56:37:49	janessa1180	4	0	Dance & EDM	10 September 2016
https://soundcloud.com/skullmchbomb/sets/edm	EDM	426	28:40:00	Hayden - B - Pfeiffer	1	0	Dance & EDM	25 January 2017
https://soundcloud.com/aleka-treakle-provost/sets/t-r-a-p-d-u-b	EDM	406	33:11:42	Aleka Rae	7	1	Dance & EDM	13 December 2014
https://soundcloud.com/min-swan-paing/sets/msp	--EDM--	472	29:17:44	Min Swan Paing	1	0	Dance & EDM	17 February 2019
https://soundcloud.com/digitalstreams/sets/workoutmix	#1 Workout MIX	24	12:08:23	Westcoast Radio (EDM)	20.2K	1,221	Dance & EDM	2 October 2017
https://soundcloud.com/tudor-tudy-5/sets/my-stuff	EDM	370	26:52:44	Tudor Tudy	7	0	Dance & EDM	25 March 2016
https://soundcloud.com/cierraallan/sets/edm	EDM	472	51:29:28	Cierra Allan	1	0	Dance & EDM	19 July 2018
