title	user	upload_time	number_of_play	number of comment	like	repost
Mine;	marzuz	5 years ago	92,093 plays	20 comments	1,190	173
Somebody Else.	marzuz	5 years ago	202,623 plays	12 comments	2,696	344
NK' x marzuz - Furnish	marzuz	5 years ago	141,274 plays	39 comments	1,854	448
Mai,	marzuz	5 years ago	2,133,081 plays	586 comments	23.3K	3,110
Mơ.	marzuz	5 years ago	1,548,108 plays	183 comments	19.3K	2,115
Bài này thì đặt tên là cái mẹ gì? - MAI (ft. Stoxic) DEMO	MAI	1 year ago	168,779 plays	130 comments	2,545	90
Chia Tay Vui Hon Demo (ft NHO)	MAI	1 year ago	85,278 plays	44 comments	1,195	53
Bản tình ca dại trai (Demo)	MAI	1 year ago	22,201 plays	10 comments	356	9
Demons	MAI	2 years ago	5,868 plays	1 comment	106	4
Brands.mp3	MAI	2 years ago	23,568 plays	8 comments	420	45
GMAJ7	MAI	3 years ago	12,293 plays	5 comments	191	12
[ M.A.D PLAYLIST ] Tổng hợp Live Session màu ĐÔNG	M.A.D Production	1 month ago	3,823 plays	1 comment	149	3
[ M.A.D PLAYLIST ] Tổng hợp Live Session màu THU	M.A.D Production	1 month ago	3,606 plays	3 comments	151	6
[ M.A.D PLAYLIST ] Tổng hợp Live Session màu HẠ	M.A.D Production	1 month ago	2,402 plays	2,402 plays	107	1
[ M.A.D PLAYLIST ] Tổng hợp Live Session màu XUÂN	M.A.D Production	1 month ago	2,583 plays	1 comment	125	3
Nếu Như Là Định Mệnh - Hoài Lâm ft Binz	Binz Da Poet	4 years ago	1,669,152 plays	143 comments	14.8K	1,595
[Mp3] Đừng Xa Anh Nhé - Binz	Binz Da Poet	5 years ago	550,327 plays	107 comments	5,374	832
Hoa Hồng Dại - Binz , KenzTam - Kandy	Binz Da Poet	5 years ago	1,404,073 plays	208 comments	13.3K	1,463
(Lac No7) - Chỉ Còn Mình Anh -Binz ft Ken	Binz Da Poet	5 years ago	532,825 plays	120 comments	4,691	705
(Lạc No3 )La La -Binz	Binz Da Poet	5 years ago	495,890 plays	189 comments	4,584	672
Sau Lưng Anh Sẽ Là - Max Benderz x D.Baola Remix - Binz , OnlyC	Binz Da Poet	5 years ago	838,308 plays	900 comments	7,991	1,500
[Acoustic Cover] Giúp Anh Trả Lời Những Câu Hỏi - Binz, Hùng Nguyễn	Binz Da Poet	5 years ago	1,309,234 plays	746 comments	11K	1,708
Tết này con về Binz- Issac Thái	Binz Da Poet	5 years ago	506,318 plays	74 comments	4,403	538
Always N Forever Lk - Binz	Binz Da Poet	6 years ago	403,846 plays	50 comments	3,236	552
Sau Lưng Anh Sẽ Là - Only C , Binz	Binz Da Poet	6 years ago	566,405 plays	43 comments	4,455	441
Không Phải Em Thì Không Ai Khác - nân. (OFFICIAL AUDIO)	nân.	1 year ago	20,019 plays	121 comments	404	26
một thế giới xa vời vợi	nân.	3 years ago	112,442 plays	14 comments	1,777	144
nhân trần đắng rồi lại ngọt thế thôi.	nân.	3 years ago	221,405 plays	31 comments	3,100	221
tình đắng như ly cà phê - nân. và Ngơ	nân.	3 years ago	8,955,924 plays	1,006 comments	97.5K	5,034
Mỹ Anh challenge	MCK	3 months ago	364,656 plays	245 comments	6,797	250
Sugar Baby	Mai Quang Nam	1 year ago	399,739 plays	12 comments	1,193	19
Người Âm Phủ	Mai Quang Nam	3 years ago	2,677,799 plays	206 comments	20.2K	2,492
Yêu Đương	Mai Quang Nam	3 years ago	1,926,528 plays	113 comments	17.3K	1,877
mùng bar yêu xa	Mai Quang Nam	3 years ago	695,603 plays	43 comments	5,535	741
Tâm Sự Của Ta - Vũ ( Hồn Papa Da Con Gái OST )	Vũ,	2 years ago	501,824 plays	23 comments	4,571	234
Hành Tinh Song Song - Vũ (Original)	Vũ,	2 years ago	875,318 plays	96 comments	10.2K	394
Muzikdapdich	Orion Bui	2 months ago	296 plays	296 plays	4	0
Spring Bring You Back From Memories Teaser	Orion Bui	4 months ago	105 plays	1 comment	2	0
Cloud Number 2 (3 year ago)	Orion Bui	10 months ago	84 plays	1 comment	1	0
Chờ Lời Anh Nói - IVY Ft Crou Produce By OrionB Final	Orion Bui	1 year ago	1,366,165 plays	85 comments	12.4K	242
Tuyet Hong Lau	Orion Bui	1 year ago	157 plays	157 plays	2	0
Sunday T ft Orion	Orion Bui	2 years ago	531 plays	4 comments	9	1
Crash of collab - Sau Tat Ca	Orion Bui	4 years ago	185 plays	185 plays	4	1
Boobawbruh	Orion Bui	4 years ago	129 plays	129 plays	2	0
My Bluestone	Orion Bui	4 years ago	1,323 plays	2 comments	8	1
Goodnight Remixx OrionB happy ver	Orion Bui	4 years ago	192 plays	192 plays	6	0
Tình Nguyện Viên - Lê Minh MTV	Hieu Tran Music Producer	2 months ago	171 plays	1 comment	2	1
Trốn Tìm - Đen ft. MTV band ( Hiếu Trần Lofi Remix)	Hieu Tran Music Producer	5 months ago	87,591 plays	11 comments	284	12
Muộn rồi mà sao còn - Sơn Tùng M-TP ( Hiếu Trần Lofi Remix)	Hieu Tran Music Producer	6 months ago	795,687 plays	15 comments	1,793	75
Thật Tâm Em Rất Yêu Anh - Đào Bá Lộc	Hieu Tran Music Producer	1 year ago	1,693,047 plays	20 comments	2,790	101
Liên Quân Mobile - Khi bạn mê game nhưng cuộc đời đưa đẩy bạn làm Music Producer - Hiếu Trần	Hieu Tran Music Producer	1 year ago	404 plays	404 plays	4	1
Coffin Dance ( Astromonia) in 8 Different Genres/Styles - Hiếu Trần	Hieu Tran Music Producer	1 year ago	1,108 plays	3 comments	17	1
Tại sao - Thiên Vương	Hieu Tran Music Producer	1 year ago	232 plays	232 plays	5	2
Tân dòng sông ly biệt OST - Tình Sâu Đậm Mưa Nhạt Nhoà ( Lofi Mix) - Tiểu Đình - 情深深雨濛濛	Hieu Tran Music Producer	1 year ago	1,819 plays	2 comments	20	3
Khúc hát đôi bàn tay - (ST. Nhạc Sỹ Phạm Tuyên) - Hiếu Trần ( Karaoke thiếu nhi)	Hieu Tran Music Producer	1 year ago	1,465 plays	1,465 plays	1	0
Khúc hát đôi bàn tay - (ST. Nhạc Sỹ Phạm Tuyên) - Hiếu Trần ( Beat chuẩn)	Hieu Tran Music Producer	1 year ago	275 plays	1 comment	1	0
GYAL ft. Chris Marshall	TroyBoi	1 month ago	15,675 plays	14 comments	625	57
BUSS IT	TroyBoi	2 months ago	77,158 plays	102 comments	4,086	479
MADTING	TroyBoi	3 months ago	60,084 plays	83 comments	3,030	338
